==============================================
BraTS 2D Federated Learning
Job ID:       22541309
Node(s):      gpu-q-7
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_2client_extreme/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_2client_extreme/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.8)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 10
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Wed Feb 11 15:06:47 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:01:00.0 Off |                    0 |
| N/A   37C    P0             66W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.8) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_2client_extreme/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        2
Rounds:         50
Local epochs:   10
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.8
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_2client_extreme/client_data
============================================================

Client data distribution:
  client_0: train=660  test=85
  client_1: train=665  test=85

    Client 0: loss=1.4283, epochs=10
  Round   9/50: Pooled Loss=0.6210, Pooled Mean=0.7060 (WT=0.8457 TC=0.6495 ET=0.6227) | C0 Mean=0.7065 | C1 Mean=0.2571 WorstC Mean=0.2571 [49.2s]
    Client 0: loss=0.5112, epochs=10
    Client 1: loss=0.9358, epochs=10
  Round  10/50: Pooled Loss=0.5816, Pooled Mean=0.7111 (WT=0.8471 TC=0.6495 ET=0.6367) | C0 Mean=0.7117 | C1 Mean=0.2574 WorstC Mean=0.2574 [49.9s]
    Client 1: loss=0.9272, epochs=10
    Client 0: loss=0.4676, epochs=10
  Round  11/50: Pooled Loss=0.5355, Pooled Mean=0.7434 (WT=0.8375 TC=0.6540 ET=0.7387) | C0 Mean=0.7388 | C1 Mean=0.2350 WorstC Mean=0.2350 [49.6s]
    Client 1: loss=0.9213, epochs=10
    Client 0: loss=0.4318, epochs=10
  Round  12/50: Pooled Loss=0.5121, Pooled Mean=0.7283 (WT=0.8294 TC=0.6342 ET=0.7213) | C0 Mean=0.7238 | C1 Mean=0.2516 WorstC Mean=0.2516 [50.0s]
    Client 0: loss=0.4000, epochs=10
    Client 1: loss=0.9149, epochs=10
  Round  13/50: Pooled Loss=0.5031, Pooled Mean=0.7262 (WT=0.8412 TC=0.6205 ET=0.7170) | C0 Mean=0.7152 | C1 Mean=0.2557 WorstC Mean=0.2557 [50.5s]
    Client 0: loss=0.3733, epochs=10
    Client 1: loss=0.9101, epochs=10
  Round  14/50: Pooled Loss=0.4990, Pooled Mean=0.7525 (WT=0.8477 TC=0.6562 ET=0.7535) | C0 Mean=0.7446 | C1 Mean=0.2722 WorstC Mean=0.2722 [50.0s]
    Client 0: loss=0.3526, epochs=10
    Client 1: loss=0.9045, epochs=10
  Round  15/50: Pooled Loss=0.4701, Pooled Mean=0.7224 (WT=0.8400 TC=0.6216 ET=0.7055) | C0 Mean=0.7122 | C1 Mean=0.2638 WorstC Mean=0.2638 [50.0s]
    Client 1: loss=0.9000, epochs=10
    Client 0: loss=0.3348, epochs=10
  Round  16/50: Pooled Loss=0.4871, Pooled Mean=0.7289 (WT=0.8340 TC=0.6515 ET=0.7013) | C0 Mean=0.7403 | C1 Mean=0.2684 WorstC Mean=0.2684 [50.2s]
    Client 0: loss=0.3178, epochs=10
    Client 1: loss=0.8964, epochs=10
  Round  17/50: Pooled Loss=0.4961, Pooled Mean=0.6913 (WT=0.8316 TC=0.6324 ET=0.6099) | C0 Mean=0.7168 | C1 Mean=0.2643 WorstC Mean=0.2643 [49.4s]
    Client 1: loss=0.8923, epochs=10
    Client 0: loss=0.3073, epochs=10
  Round  18/50: Pooled Loss=0.5498, Pooled Mean=0.5987 (WT=0.7559 TC=0.5297 ET=0.5104) | C0 Mean=0.5960 | C1 Mean=0.2010 WorstC Mean=0.2010 [50.3s]
    Client 1: loss=0.8910, epochs=10
    Client 0: loss=0.2970, epochs=10
  Round  19/50: Pooled Loss=0.4078, Pooled Mean=0.7546 (WT=0.8531 TC=0.6742 ET=0.7365) | C0 Mean=0.7517 | C1 Mean=0.2601 WorstC Mean=0.2601 [50.8s]
    Client 0: loss=0.2832, epochs=10
    Client 1: loss=0.8878, epochs=10
  Round  20/50: Pooled Loss=0.4418, Pooled Mean=0.7487 (WT=0.8400 TC=0.6998 ET=0.7063) | C0 Mean=0.7537 | C1 Mean=0.2808 WorstC Mean=0.2808 [51.8s]
    Client 0: loss=0.2747, epochs=10
    Client 1: loss=0.8827, epochs=10
  Round  21/50: Pooled Loss=0.4422, Pooled Mean=0.7527 (WT=0.8314 TC=0.7046 ET=0.7223) | C0 Mean=0.7561 | C1 Mean=0.2863 WorstC Mean=0.2863 [51.5s]
    Client 0: loss=0.2667, epochs=10
    Client 1: loss=0.8806, epochs=10
  Round  22/50: Pooled Loss=0.4050, Pooled Mean=0.7673 (WT=0.8474 TC=0.7018 ET=0.7527) | C0 Mean=0.7597 | C1 Mean=0.2766 WorstC Mean=0.2766 [50.8s]
    Client 1: loss=0.8789, epochs=10
    Client 0: loss=0.2558, epochs=10
  Round  23/50: Pooled Loss=0.4289, Pooled Mean=0.7638 (WT=0.8182 TC=0.7086 ET=0.7647) | C0 Mean=0.7546 | C1 Mean=0.2972 WorstC Mean=0.2972 [49.1s]
    Client 0: loss=0.2510, epochs=10
    Client 1: loss=0.8749, epochs=10
  Round  24/50: Pooled Loss=0.4135, Pooled Mean=0.7463 (WT=0.8477 TC=0.6794 ET=0.7118) | C0 Mean=0.7395 | C1 Mean=0.2857 WorstC Mean=0.2857 [49.5s]
    Client 1: loss=0.8704, epochs=10
    Client 0: loss=0.2428, epochs=10
  Round  25/50: Pooled Loss=0.4861, Pooled Mean=0.6983 (WT=0.7675 TC=0.6648 ET=0.6626) | C0 Mean=0.7091 | C1 Mean=0.2896 WorstC Mean=0.2896 [49.4s]
    Client 1: loss=0.8672, epochs=10
    Client 0: loss=0.2379, epochs=10
  Round  26/50: Pooled Loss=0.4337, Pooled Mean=0.7202 (WT=0.8158 TC=0.6702 ET=0.6746) | C0 Mean=0.7294 | C1 Mean=0.2962 WorstC Mean=0.2962 [50.0s]
    Client 0: loss=0.2338, epochs=10
    Client 1: loss=0.8648, epochs=10
  Round  27/50: Pooled Loss=0.3970, Pooled Mean=0.7723 (WT=0.8310 TC=0.7271 ET=0.7587) | C0 Mean=0.7751 | C1 Mean=0.3059 WorstC Mean=0.3059 [49.8s]
    Client 1: loss=0.8568, epochs=10
    Client 0: loss=0.2258, epochs=10
  Round  28/50: Pooled Loss=0.3980, Pooled Mean=0.7532 (WT=0.8288 TC=0.6833 ET=0.7473) | C0 Mean=0.7589 | C1 Mean=0.2842 WorstC Mean=0.2842 [50.3s]
    Client 1: loss=0.8511, epochs=10
    Client 0: loss=0.2191, epochs=10
  Round  29/50: Pooled Loss=0.4102, Pooled Mean=0.7461 (WT=0.8227 TC=0.6764 ET=0.7394) | C0 Mean=0.7488 | C1 Mean=0.3032 WorstC Mean=0.3032 [50.4s]
    Client 0: loss=0.2147, epochs=10
    Client 1: loss=0.8450, epochs=10
  Round  30/50: Pooled Loss=0.3762, Pooled Mean=0.7735 (WT=0.8573 TC=0.6961 ET=0.7672) | C0 Mean=0.7791 | C1 Mean=0.3143 WorstC Mean=0.3143 [50.8s]
    Client 1: loss=0.8356, epochs=10
    Client 0: loss=0.2102, epochs=10
  Round  31/50: Pooled Loss=0.3813, Pooled Mean=0.7609 (WT=0.8565 TC=0.7084 ET=0.7178) | C0 Mean=0.7526 | C1 Mean=0.3224 WorstC Mean=0.3224 [49.5s]
    Client 0: loss=0.2036, epochs=10
    Client 1: loss=0.8246, epochs=10
  Round  32/50: Pooled Loss=0.4208, Pooled Mean=0.7258 (WT=0.8173 TC=0.6535 ET=0.7065) | C0 Mean=0.7386 | C1 Mean=0.3443 WorstC Mean=0.3443 [49.7s]
    Client 1: loss=0.8155, epochs=10
